subject_num,iteration,c7_disp/cm,sa_disp/cm,time/s,accuracy/cm,parameter,cost
6,11,9.81,2.1,3.69,0.3,1.09,50.31
6,12,7.84,2.36,3.7,0.41,1.17,33.49
6,13,12.48,2.75,4.65,0.32,1.2,81.69
6,14,10.77,2.1,3.41,0.3,1.2,60.15
6,15,11.27,2.08,3.34,0.4,1.19,65.62
6,16,10.4,2.22,2.99,0.22,1.17,56.57
6,17,11.27,2,5.65,0.41,1.19,65.46
6,18,10.36,1.63,3.17,0.55,1.23,54.96
6,19,10.77,2.35,3.46,0.53,1.29,60.71
6,20,9.95,2.08,3.88,0.47,1.33,51.64
6,21,5.24,3.03,4.91,0.48,1.31,18.32
6,22,8.16,3.32,4.1,0.51,1.27,38.81
6,23,7.65,2,4.79,0.23,1.18,31.28
6,24,8.39,1.85,3.98,0.45,1.14,36.89
6,25,12.89,3.17,5.68,1.23,1.12,88.04
6,26,8.39,1.07,7.09,0.4,1.14,35.76
6,27,3.79,2.58,5.8,0.4,1.19,10.53
6,28,5.94,2.58,7.06,0.47,1.27,20.96
6,29,5.05,2.91,7.87,0.19,1.31,17
6,30,5.43,2.84,6.1,0.34,1.3,18.77
6,31,9.03,2.61,6.82,0.49,1.3,44.2
6,32,5.43,1.55,5.29,0.37,1.34,15.92
6,33,4.31,1.99,7.22,0.32,1.4,11.25
6,34,5.05,1.78,5.82,0.28,1.44,14.36
6,35,2.53,2.05,4.79,0.34,1.56,5.3
6,36,1.03,1.55,4.03,0.25,1.64,1.73
6,37,-0.19,0.85,4.45,0.34,1.66,0.38
6,38,0.98,1.85,3.55,0.32,1.63,2.19
6,39,1.31,1.94,4.82,0.29,1.58,2.74
6,40,1.5,1.61,3.94,0.28,1.53,2.42
6,41,2.58,1.96,3.75,0.29,1.51,5.24
6,42,2.48,2.21,4.42,0.34,1.54,5.52
6,43,2.3,2,5.41,0.53,1.58,4.64
6,44,0.33,2.28,3.8,0.11,1.59,2.66
6,45,2.11,1.53,4.79,0.2,1.57,3.4
6,46,2.48,2.46,4.53,0.45,1.5,6.1
6,47,2.3,1.67,4.73,0.08,1.42,4.04
6,48,1.03,1.7,3.75,0.38,1.36,1.98
6,49,4.73,2.7,3.91,0.37,1.35,14.83
6,50,3.75,2.11,3.74,0.27,1.38,9.25
6,51,4.07,2.03,4.34,0.26,1.43,10.37
